currency_co,open_dt,agreement_amt_rub,applied_amt_rub,month_pay_rub,term_cnt,region_name,score_day,score_hour,age,born_in_russia,gender,marital,education,child_minor,reg_fact,residence_period,work_status,website,gen_property,gen_exp,pre_exp,gen_industry,salary300,income_confirmation,flat_owner,house_owner,auto_owner,garage_owner,land_owner,account_owner,card_owner,current_credit,email_shown,work_phone_shown,home_phone_shown,current_phone_shown,mobile_phone_shown,phone_work_same,phone_reg_same,reg_state,auto_number_shown,inn_number_shown,drvlic_number_shown,pension_number_shown,UCI,OL,child_adult,previous_score,default
nom,lin,lin,lin,lin,lin,nom,nom,lin,lin,bin,bin,nom,nom,lin,bin,lin,nom,bin,nom,lin,lin,nom,lin,bin,nom,nom,nom ,bin,bin,bin,nom,bin,bin,bin,bin,bin,bin,bin,bin,nom,bin,bin,bin,bin,lin,lin,bin,lin,bin
1,733669,130000,130000,5909.6,36,7,6,11,53,0,1,2,2,0,1,108,3,0,2,42,0,19,19324,1,1,1,2,0,0,1,2,0,0,1,1,1,1,0,0,3,0,0,1,0,0,1000,1,42.3,0
1,733669,150000,150000,9672.5,60,2,2,8,56,1,1,2,3,0,1,132,2,0,5,13,36,19,43500,2,2,1,1,0,0,0,1,0,0,1,1,1,1,0,0,13,0,0,0,1,0,7000,1,45.3,0
1,733556,100000,250000,10521,60,2,2,20,24,1,0,2,3,0,0,7,2,0,5,8,22,20,34000,2,2,1,2,0,0,0,1,0,0,1,1,1,1,0,0,8,1,0,0,0,0,9300,0,35.8,0
1,733558,300000,300000,41680,48,2,4,12,52,1,0,2,3,0,1,108,2,0,1,180,36,13,24000,1,1,2,2,0,0,1,3,0,0,1,1,1,1,0,0,8,0,0,0,1,40000,3500,0,33.6212766,0
1,733557,100000,150000,6300,36,2,3,15,46,1,0,2,2,0,1,480,1,0,5,1,33,20,22000,1,1,3,2,0,0,0,1,0,0,1,0,0,1,0,0,9,0,0,0,1,0,2500,1,43.3,1
1,733556,250000,250000,19680,24,2,4,16,26,0,0,2,3,0,1,96,3,0,2,10,4,19,73950,1,1,1,2,0,0,0,2,0,1,1,1,1,1,0,0,9,1,0,0,0,22000,22000,0,32.87227723,0
1,733663,78260,150000,2340,48,2,5,12,25,1,1,1,1,2,0,48,1,0,1,19,3,2,15600,1,3,1,2,0,1,1,2,1,1,1,1,1,1,0,0,8,1,0,0,0,0,4500,0,43.3,0
1,733670,100000,100000,11800,36,2,6,15,42,1,0,1,2,0,0,48,2,0,4,265,0,4,28000,1,2,1,2,0,0,1,1,0,0,1,0,0,1,0,0,9,0,0,0,1,0,6000,1,42.3,0
1,733675,500000,500000,16380,60,1,2,16,48,1,1,2,2,1,1,120,4,0,5,7,7,20,38000,2,1,1,1,0,1,1,2,0,0,1,0,1,1,0,0,5,0,0,1,0,0,2100,1,54.8,0
1,733663,100000,100000,4080,60,5,2,9,33,1,1,2,1,2,0,48,1,0,4,145,0,9,18000,1,3,1,2,0,0,1,2,1,0,1,1,1,1,0,0,4,0,0,0,1,0,1300,0,45.3,0
1,733556,100000,100000,13532.4,36,2,7,11,44,1,1,3,2,1,0,4,2,0,2,30,12,3,60000,1,1,1,1,0,0,1,2,1,0,1,0,1,1,0,0,9,0,0,1,0,9930,13300,1,46.79234064,0
1,733556,100000,100000,30000,12,2,7,10,46,0,1,2,3,1,1,72,4,1,5,9,18,6,50000,1,2,1,1,0,0,1,3,0,1,1,1,1,1,0,0,9,0,0,1,0,10000,24000,0,56.3,0
1,733556,200000,300000,11080,60,2,6,14,37,1,0,2,2,0,1,240,2,0,5,16,39,19,32400,1,1,3,2,0,0,0,1,0,0,1,0,1,1,0,0,8,0,0,0,1,0,3500,0,36.3,0
1,733556,300000,750000,29780,60,2,6,13,53,1,1,3,3,0,1,132,4,0,5,13,23,3,90000,2,3,1,1,0,0,1,3,0,0,1,1,1,1,0,0,8,0,0,1,0,0,30000,1,49.8,0
1,733668,350000,350000,19275,60,5,6,9,32,1,0,2,3,2,0,3,3,0,5,28,63,3,42000,2,2,1,2,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,0,10000,6000,0,38.06153846,1
